epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.675250954486356,0.48475247524752474,1.289881246373205,0.6989108910891089,9.972609476841367e-05,10455
2,1.7774012002850523,0.7079207920792079,1.018634622852401,0.7556435643564356,9.890738003669029e-05,9358
3,1.5805833240546803,0.7642450495049505,0.9392693042755127,0.7768316831683169,9.755282581475769e-05,9260
4,1.4577097556142524,0.8027103960396039,0.8675024537992949,0.7877227722772278,9.567727288213003e-05,13023
5,1.3714006961218201,0.8295792079207921,0.8460468543402039,0.7964356435643565,9.330127018922194e-05,10525
6,1.2977542170911733,0.8521905940594059,0.8421135369149765,0.8002970297029703,9.045084971874738e-05,12294
7,1.2373138257772616,0.8728094059405941,0.8319579847496335,0.8005940594059406,8.715724127386972e-05,11387
8,1.184394637995427,0.8901485148514852,0.8298102753233202,0.8047524752475248,8.345653031794292e-05,12778
9,1.1407098783832965,0.904740099009901,0.8373507459328906,0.8033663366336634,7.938926261462366e-05,10580
10,1.102437590891772,0.9176732673267327,0.8274774882344916,0.8052475247524753,7.500000000000001e-05,10599
11,1.0734395247638815,0.9268069306930693,0.8453823885587183,0.8067326732673268,7.033683215379003e-05,12142
12,1.0426851805129853,0.9386509900990099,0.8314475529736811,0.8083168316831684,6.545084971874738e-05,10932
13,1.0180909458009324,0.9475618811881188,0.8445719442509189,0.8084158415841585,6.039558454088797e-05,11792
14,0.9983320137061695,0.9542574257425742,0.8464167940498578,0.8083168316831684,5.522642316338269e-05,10780
15,0.9804184164387165,0.9599876237623762,0.844937790856503,0.8078217821782179,5.000000000000002e-05,10791
16,0.9680309852279059,0.9637128712871287,0.8515436799455397,0.8094059405940595,4.4773576836617344e-05,10758
17,0.952969444765903,0.9685272277227723,0.8511057215633959,0.8107920792079208,3.9604415459112035e-05,11473
18,0.9397317233888229,0.9732425742574258,0.869615664222453,0.8042574257425743,3.4549150281252636e-05,13618
19,0.9307203643628866,0.9760024752475247,0.8522194729465069,0.80990099009901,2.9663167846209998e-05,10870
20,0.923970429590433,0.9772524752475248,0.8593914858185419,0.8101980198019803,2.5000000000000018e-05,10827
21,0.915804401246628,0.98,0.8621390496858276,0.8092079207920793,2.0610737385376356e-05,10894
22,0.9102582204223859,0.9815346534653465,0.8494376756649206,0.8113861386138614,1.654346968205711e-05,10898
23,0.9048416188211724,0.9832549504950495,0.8542128460005959,0.8104950495049505,1.2842758726130297e-05,11224
24,0.9004362666252816,0.9847524752475247,0.8530593375404283,0.8116831683168317,9.549150281252636e-06,11266
25,0.8970429901557394,0.9856064356435643,0.8594402385938286,0.8141584158415841,6.698729810778068e-06,14244
26,0.8959722584072907,0.9853836633663366,0.8513919831738613,0.8144554455445544,4.322727117869953e-06,12267
27,0.8922059008390597,0.9867450495049505,0.851796800665336,0.8136633663366336,2.447174185242324e-06,11740
