epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,3.257289763252334,0.3038490099009901,2.2805132385291675,0.43237623762376237,0.0009972609476841367,1058
2,2.5851375811170825,0.48274752475247523,1.7664746203753028,0.5536633663366337,0.0009890738003669028,975
3,2.340558137232714,0.5514727722772277,1.5838646353825485,0.5995049504950495,0.0009755282581475768,985
4,2.1837793506018004,0.5994430693069307,1.5484452167832026,0.6072277227722772,0.0009567727288213003,925
5,2.0625734533177744,0.6363613861386138,1.4936181645110103,0.6301980198019802,0.0009330127018922195,938
6,1.9689753749110912,0.6619430693069307,1.3306333563823511,0.6648514851485149,0.0009045084971874739,964
7,1.886991281792669,0.6855569306930693,1.3676293868829708,0.6571287128712872,0.0008715724127386972,953
8,1.8085459515127804,0.7092079207920792,1.2950527809870125,0.6773267326732674,0.0008345653031794292,923
9,1.735957035026928,0.732450495049505,1.2994584462666277,0.6803960396039604,0.0007938926261462366,928
10,1.6649520182845616,0.7539975247524753,1.2043450802151519,0.7039603960396039,0.00075,965
11,1.6030134773254394,0.7724628712871288,1.1607727301946962,0.7100990099009901,0.0007033683215379003,923
12,1.5449029315816294,0.7921782178217822,1.1745312277161248,0.7089108910891089,0.0006545084971874739,930
13,1.4879489795760352,0.8101237623762376,1.137237714588052,0.7182178217821782,0.0006039558454088797,927
14,1.4332561132223298,0.8272772277227722,1.115949013776118,0.7246534653465346,0.0005522642316338269,1228
15,1.3816870698362294,0.8433787128712872,1.1121293098855727,0.7249504950495049,0.0005000000000000002,972
16,1.3356068222121438,0.859480198019802,1.0887431569146637,0.7314851485148515,0.0004477357683661734,991
17,1.2894920022416823,0.8738861386138614,1.0842670685229916,0.730990099009901,0.00039604415459112036,952
18,1.2411219145519898,0.8910272277227723,1.0797013735299064,0.7403960396039604,0.0003454915028125264,917
19,1.208695989740957,0.902240099009901,1.0711740296429926,0.740990099009901,0.0002966316784621,923
20,1.1722774817211794,0.9143193069306931,1.0745221775829201,0.7427722772277228,0.00025000000000000017,926
21,1.1400508395752105,0.9243811881188119,1.0681048181977602,0.7469306930693069,0.00020610737385376354,928
22,1.115112853380713,0.9343193069306931,1.0726853951133124,0.7445544554455445,0.00016543469682057108,928
23,1.0913523053650809,0.9422648514851485,1.0638499693351218,0.7474257425742574,0.00012842758726130298,932
24,1.0717541395791685,0.948539603960396,1.0635346690498957,0.7497029702970297,9.549150281252637e-05,932
25,1.0579932283174873,0.953230198019802,1.0547856025412532,0.7507920792079208,6.698729810778068e-05,932
26,1.0455379826951736,0.9569678217821782,1.0603897123053523,0.7504950495049505,4.322727117869953e-05,936
27,1.0369276440969788,0.9596287128712871,1.0511533018622068,0.7508910891089109,2.447174185242324e-05,941
28,1.029099691740357,0.9627475247524753,1.05498810843666,0.7524752475247525,1.092619963309716e-05,931
29,1.0262997954434687,0.9629579207920792,1.0574489227143844,0.7507920792079208,2.7390523158633003e-06,934
30,1.0223508055375354,0.965049504950495,1.053305531586751,0.7521782178217822,0.0,937
